Date,Content,Comment
2025-08-09,https://boxd.it/aETZcx,he probably would have stopped 9/11 too
2025-09-14,https://boxd.it/b2KUJT,Now you gotta play the ds game to understand the full lore
2025-09-25,https://boxd.it/ba3LCF,uhh it appears to be uhh it uhh a BIG one
2025-10-29,https://boxd.it/buZeAR,when did i go missing?
2026-01-14,https://boxd.it/cD2On1,WINTON
2026-01-21,https://boxd.it/cKqiSH,He Who Must Not Show Meat
